text,label
3、总资产周转率＝营业收入/平均资产总计,0
五、发行人权益投资情况,7
1、受托管理事务报告包括年度受托管理事务报告和临时受托管理事务报告。,0
1、拟变更《募集说明书》的约定；,0
（四）发行人行业状况,15
（五）发行人未来发展规划,17
二、本公司控股股东、实际控制人声明,5
（十）2016年7月，公司增资情况,0
（二）发行人控股子公司介绍如下：,0
2、董事会,0
第二节风险因素,2
3、项目建设内容,0
1、发行人及其控股子公司重大未决诉讼、仲裁及行政处罚事项,20
（二）风险控制指标（母公司口径）,0
（二）偿债计划的人员及工作安排,0
（三）审计机构,0
五、控股股东及实际控制人的基本情况,5
重大事项提示,1
（五）发行人受限制资产情况,0
重大事项提示,1
（七）发行人发展战略及发展规划,17
2、保证的方式：担保人承担保证的方式为全额无条件不可撤销连带责任保证担保。,0
（一）外部环境较好，为公司发展提供了良好基础,0
（二）发行人控股子公司、参股公司概况,7
（二）发行人组织架构及独立经营情况,10
（三）人员独立,0
第二节风险因素,2
第十三条偿债保障措施,3
（三）公司治理及管理风险,9
2、项目批复,0
十九、近期国家重点推进的“两票制”、“一致性评价”对公司的影响：,0
十一、发行人关联交易情况,16
（七）本期债券上市交易的证券交易场所：上海证券交易所住所：上海市浦东南路528号,0
1、股权经营业务,0
二、发行人的相关风险,0
2、重大未决诉讼或仲裁,20
十三、关联交易,16
六、董事、监事和高级管理人员的基本情况,12
4、独立性风险,0
十二、发行人的独立运营情况,6
（二）主要业务情况,14
（四）发行人行业状况,15
一、发行人基本信息,0
四、控股股东和实际控制人情况,5
九、公司治理结构及运行情况,9
（一）为控股子公司提供的担保,0
三、发行人所在行业现状和前景,15
2、盈利能力的可持续性,0
3、精耕细作融资融券业务,0
7、发行人减资、合并、分立、解散或者申请破产；,0
（二）现金流量分析,0
7、发行人管理层不能正常履行职责，导致发行人债务清偿能力面临严重不确定性，需要依法采取行动；,0
第五节增信机制、偿债计划及其他保障措施,0
（一）有息债务总余额,19
六、发行人控股股东和实际控制人基本情况,5
重大事项提示,1
2、短期偿债能力风险,0
第二节风险因素,2
（三）是公司生产经营正常进行的需要,0
二、发行人简要历史沿革,4
1、财务数据的基准日为2017年12月31日；,0
（四）会计师事务所,0
1、发行人应当根据法律、法规和规则及募集说明书的约定，按期足额支付本次债券的利息和本金。,0
十四、发行人关联交易情况,16
第三节风险因素,2
14、发行人应当履行债券受托管理协议、募集说明书及法律、法规和规则规定的其他义务。,0
九、发行人主要业务情况,14
（二）证券经纪业务,0
（二）母公司财务报表,0
七、公司董事、监事及高级管理人员基本情况,12
3、发行人参股公司,8
7、发行人应当履行债券持有人会议规则及债券持有人会议决议项下债券发行人应当履行的各项职责和义务。,0
3、经查阅中国执行信息公开网核实，截至2019年9月末，发行人及子公司不属于失信被执行人。,0
（六）品种间回拨选择权,0
八、有息负债分析,19
七、发行人法人治理结构与内部控制制度,11
（一）最近三年及一期合并报表口径分析,0
四、公司控股股东及实际控制人情况,5
八、发行人主营业务情况,14
二、债券受托管理协议主要内容,0
九、发行人主营业务情况,14
（二）发行人治理结构,9
六、发行人未来发展规划,17
（四）发行人拥有的经营资质情况,0
（3）珠海利邦医药研发有限公司,0
五、上海新世纪资信评估投资服务有限公司出具的债券信用评级分析报告；,0
四、发行人董事、监事、高级管理人员基本情况,12
三、与发行人有关的风险与对策,0
6、短期偿债压力较大的风险,0
（二）发行人主要业务情况,14
1、在本次债券到期、加速清偿或回购（若适用）时，发行人未能偿付到期应付本金；,0
5、发行人的子公司及参股公司,7
（一）公司最近三年及一期主要财务指标,0
2、2017年合并范围的变更情况,0
（四）兴银基金管理有限责任公司,0
3、假设不考虑融资过程中产生的所有由公司承担的相关费用；,0
一、偿债计划,0
（二）发行人所处行业地位及主要竞争优势,15
四、有息负债分析,19
（三）最近三年发行人控股股东及实际控制人变动情况,5
4、发行人主要参股公司经营情况介绍如下：,8
10、风险控制,0
3、会议时间和地点；,0
二、广发证券股份有限公司,0
（一）接受本募集说明书对本期债券项下权利义务的所有规定并受其约束；,0
（二）现任董事、监事、高级管理人员简历,13
2、会计估计变更,20
（二）现任董事、监事、高级管理人员简历,13
2、行业政策调整风险,0
一、发行人主营业务情况及主营业务经营模式,14
四、发行人公司治理和组织结构,9
1、向受托管理人提供保证金，且保证金数额足以支付以下各项金额的总和：,0
1、评级观点,0
五、关联交易情况,16
2、债务偿还压力测算,0
3、合营联营企业,0
第二节风险因素,2
二、发行人历史沿革,4
2、假设本期债券的募集资金净额为基础发行的20亿元，即不考虑融资过程中所产生的相关费用且全部发行；,0
二、本期债券上海证券交易所公开发行部分的具体发行网点见募集说明书附表一中标注“▲”的发行网点。,0
（三）中国工商银行股份有限公司邵东支行,0
（十一）平阳县城南凤山安置房a-09-02地块停车场,0
十、发行人风险控制和内部控制,11
五、发行人董事、监事、高级管理人员的基本情况,12
（二）关联交易,16
1、执行出资者的相关决议，并向出资者报告工作；,0
（四）债券持有人会议的召开,0
1、出资人,0
四、董事、监事及高级管理人员的基本情况,12
四、最近三年的主要财务指标,0
3、现金流量分析,0
1、当发行人提出变更本期债券募集说明书约定的方案时，对是否同意发行人的建议做出决议；,0
1、资产结构分析,0
七、发行人主营业务情况,14
2、2012年发行人以资本公积转增股本,0
三、发行人组织结构和权益投资情况,7
二十、债券担保：本期债券无担保。,0
5、关联交易方面,0
六、认购人承诺,0
一、发行人主营业务情况,14
17、在本次债券存续期内，受托管理人不得将其受托管理人的职责和义务委托其他第三方代为履行。,0
七、发行人董事、监事、高级管理人员情况,12
（二）为非关联方提供的担保,0
十、关联方及关联交易,16
（六）法律适用和争议解决,0
三、股东情况,0
2、发行人重要参股公司,8
2、假设本期债券的募集资金净额为20亿元，即不考虑融资过程中所产生的相关费用且全部发行；,0
7、2014年发行人以资本公积转增股本,0
十一、发行人独立性情况,6
2、负债结构分析,0
（四）发行人独立经营情况,6
（一）制定《债券持有人会议规则》,0
（一）会计政策变更,18
九、发行人所处行业的基本状况,15
三、发行人所在行业情况,15
3、公司负债规模较大，有一定的债务负担，未来随着投资项目的全面铺开，公司将面临较大资本支出压力。,0
（一）债券名称,0
6、法律、行政法规和部门规章规定应当由债券持有人会议作出决议的其他情形。,0
七、发行人主要业务情况,14
第二节风险因素,2
（五）发行人经营方针及发展战略,17
（五）鹏元资信评估有限公司为本期债券出具的信用评级报告；,0
三、发行人所在行业情况,15
四、最近一年末公司有息债务情况,19
（二）现任董事、监事、高级管理人员简历,13
（三）主要参股公司基本情况,8
（三）现任董事、监事、高级管理人员的兼职情况（不包括发行人控股子公司、参股公司）,0
一、发行人主营业务情况,14
四、偿债保障措施,3
十三、发行人董事、监事、高级管理人员的基本情况,12
19、本次债券可能被暂停或者终止提供交易或转让服务的；,0
2、行业前景,0
7、固定资产折旧风险、在建工程项目未来收益不及预期甚至出现减值的风险,0
第三节风险因素,2
（六）未来业务目标及盈利能力的可持续性,17
（七）未来业务目标,17
二、发行人的历史沿革,4
（二）偿债资金来源,0
（二）发行人2014-2016年经审计的合并资产负债表摘要（完整合并资产负债表见附表二）,0
第八节募集资金运用,0
三、发行人股本结构及前十名股东持股情况,0
三、同业竞争与关联交易,16
2、拟变更债权代理人；,0
1、关联交易的决策权限,0
8、关联交易管理制度,0
五、董事、监事、高级管理人员的基本情况,12
三、发行人主营业务模式、状况及发展规划,17
（二）发行人的独立性,6
八、公司所处行业的基本情况,15
（七）陈述与保证,0
5、制定公司的具体规章；,0
十、发行人法人治理结构及相关机构最近三年内的运行情况,9
（四）上述事项对公司业绩及债券偿付能力的影响,0
4、假设本期债券募集资金40亿元均用于偿还短期借款及一年内到期的非流动负债；,0
（二）发行人的重要权益投资情况,7
5、债券持有人会议规则；,0
第三节风险因素,2
（五）控股股东及实际控制人所持发行人股权质押及争议情况,0
四、公司治理和组织结构,9
（一）对公司资产负债水平的影响,0
（四）资信评级报告；,0
六、发行人控股股东及实际控制人情况,5
六、发行人董事、监事及高级管理人员情况,12
（二）纳入发行人合并范围内子公司和主要参股公司情况,7
（四）发行人合法合规经营情况,0
2、假设本期债券的募集资金净额为40亿元，即不考虑融资过程中所产生的相关费用且全部发行；,0
1、风险控制制度,0
第六节财务会计信息,0
（一）发行人的历史沿革情况,4
（三）公司监事简历,13
八、公司主营业务情况,14
8、对下属子公司的管理,0
3、合并现金流量表,0
三、股东和实际控制人情况,5
7、突发事件引发的经营和治理结构风险,0
（一）发行人主要业务情况,14
七、发行人与本次发行的有关机构、人员的利害关系,0
（二）发行人主要参股公司基本情况,8
1、岷江东风岩、老木孔、龙溪口航电枢纽工程,0
（一）构成债券违约的情形,0
第十四条风险揭示与对策,2
第八节债券持有人会议,0
2、发行人主要资产被查封、扣押、冻结；,0
2、加速清偿及措施,0
八、发行人所处行业分析,15
（八）公司债券申请上市的证券交易所：上海证券交易所,0
8、发行人作出资产重组决定，对债券持有人权益产生重大不利影响的；,0
14、北京寿比轩文化发展有限公司（以下简称“寿比轩”）,0
六、认购人承诺,0
8、ebitda利息倍数=ebitda/（利息支出-客户资金利息支出）；,0
二、发行人设立及历史沿革情况,4
六、公司控股股东及实际控制人基本情况,5
（二）盈利能力的可持续性,0
2、项目批复,0
1、发行人及其控股子公司重大未决诉讼、仲裁及行政处罚事项,20
五、发行人与其子公司及参股公司的投资关系,7
（一）主要会计政策变更的说明,18
三、本期偿债保障措施,3
2、债券持有人会议审议事项由召集人根据《债券持有人会议规则》第六条和第七条的规定决定。,0
（一）交通设施运营及建设板块,0
八、最近一年末有息债务情况,19
1、资产结构分析,0
十二、法人治理结构及相关机构最近三年内的运行情况,9
（一）接受本募集说明书对本期债券项下权利义务的所有规定并受其约束；,0
（四）发行人的独立性情况,6
（二）发行人所在主要行业状况,15
（一）会计政策变更及对公司的影响,18
3、公司收入构成情况,0
3、其它高级管理人员,0
（四）关联交易决策,0
10、岷江犍为航电枢纽工程,0
二、发行人权益投资情况,7
一、债券受托管理人,0
二、发行人设立、上市、股本变化及重大资产重组情况,0
二、发行人的历史沿革,4
九、资产权利限制情况分析,0
三、发行人组织结构图和重要的权益投资情况,7
（三）现任董事、监事、高级管理人员的兼职情况（不包括发行人控股子公司、参股公司）,0
六、发行人的组织结构,10
2、项目批复,0
第二节风险因素,2
八、发行人所处行业的基本情况,15
4、行业竞争格局,0
八、关联方及关联交易情况,16
第三节风险因素,2
（一）会计政策变更,18
2、发行人未能偿付本次债券的到期利息，且该违约持续超过三十日仍未解除；,0
4、总裁,0
（三）充分发挥债券受托管理人的作用,0
（三）受托管理人的职责、权利和义务,0
六、公司股东、实际控制人情况,5
四、偿债保障措施,3
（二）上述财务指标的计算方法,0
十二、发行人关联方、关联关系及关联交易情况,16
八、发行人董事、监事和高级管理人员的基本情况,12
11、川南城际铁路,0
四、偿债保障措施,3
（二）2018年度合并报表范围的变化情况,0
二、公司的组织结构及对其他企业的重要权益投资情况,7
（二）违约责任,0
（二）关联交易情况,16
十一、簿记建档日：【2020】年【3】月【20】日。,0
（五）中国证监会核准本次发行的文件；,0
（一）指导思想,0
（一）主营业务概况,14
2、发行人未决诉讼或仲裁事项,20
二、发行人的历史沿革,4
（一）发行人重要权益投资情况,8
（一）发行人最近三年的财务报告和审计报告及2017年1-3月未经审计的财务报表；,0
2、负债结构,0
九、发行人的独立性,6
（二）主承销商,0
（三）资信状况,0
5、参股公司,8
六、发行人发展规划,17
1、发行人最近三年经审计的财务报告；,0
第十三条偿债保障措施,3
十五、内部管理制度的建立及运行情况,11
第二节风险因素,2
（十二）本金支付日,0
（七）发行人与控股股东、实际控制人的独立情况,6
２、速动比率=（流动资产-存货-预付账款-其他流动资产）/流动负债,0
（一）优势,0
2、项目批复,0
（二）未决诉讼、仲裁事项,20
1、出资人,0
1、关联交易的决策权限,0
（九）本期债券申请上市的证券交易所,0
（八）本期债券登记机构：中国证券登记结算有限责任公司上海分公司,0
（三）公司经营方针及战略,17
二、发行人历史沿革简介,4
一、本期债券担保情况,0
7）存货,0
10）发行人情况发生重大变化导致可能不符合公司债券上市条件；,0
（二）发行人主要子公司、合营公司和参股公司的基本情况,7
四、发行人组织结构以及对其他企业的重要权益投资情况,7
四、公司控股股东和实际控制人的基本情况及上市以来的变化情况,5
（二）实际控制人的基本情况,5
（二）董事、监事及高级管理人员的从业简历,13
第十八条备查文件,0
7、注册地址：成都市高新区九兴大道12号,0
（一）经营风险与对策,0
四、发行人的股权结构及权益投资情况,7
八、公司债券的偿债保障措施,3
五、发行人控股股东和实际控制人的基本情况,5
（二）公司的治理结构及内控制度,11
五、公司的主营业务情况,14
（三）偿付风险,0
四、发行人的主营业务模式、状况及发展规划,17
6、发行人丧失清偿能力、被法院指定管理人或已开始相关的诉讼程序；,0
（四）跟踪评级的有关安排,0
1、2017年,0
（一）发行人财务概况,0
2、决定公司的经营计划和投资方案；,0
（四）本次发行后累计债券余额及其占发行人最近一期末净资产的比例,0
13、主承销商、债券受托管理人：广发证券股份有限公司。,0
九、发行人及实际控制人、董事、监事、高级管理人员违法违规情况,0
四、偿债保障措施,3
３、资产负债率=总负债/总资产,0
二、发行人的历史沿革,4
2、重大未决诉讼,20
6、债券利率或其确定方式：本期债券为固定利率，票面利率通过簿记建档方式确定。,0
一、发行人主要业务情况,14
10、增信机构、增信措施或者其他偿债保障措施发生重大变化且对债券持有人利益产生重大不利影响；,0
（六）其他保障措施,0
3、资产负债率=（负债总额-代理买卖证券款）/（资产总额-代理买卖证券款）；,0
二、发行人历史沿革及历次股本变化情况,4
2）跟踪评级程序安排,0
二、发行人负责人和主管会计工作的负责人、会计机构负责人声明,0
重大事项提示,1
八、发行人董事、监事、高级管理人员基本情况,12
（六）未来发展战略,17
（四）发行人董事、监事及高级管理人员持股情况,0
4、处理公司其他应由董事长处理的事务；,0
各部门主要职责如下：,10
（六）假设本期债券发行在2019年9月30日完成。,0
1、合并报表中的主营业务收入构成,0
三、发行人股本总额及前十大股东持股情况,5
三、公司控股股东及实际控制人的基本情况,5
（一）本期债券发行前有息债务情况,19
八、债券托管机构,0
5、根据国家税收法律、法规，投资者投资本期债券应缴纳的有关税金由投资者自行承担。,0
６、总资产周转率=营业收入/总资产平均余额,0
（二）董事、监事、高级管理人员简历,13
4、公司主要供应商及客户情况,0
（三）盈利能力的未来趋势分析及未来业务发展规划,17
1、项目建设必要性,0
（五）违规使用债券资金的相关风险与对策,0
四、偿债保障措施,3
（二）发行人未决诉讼或仲裁事项,20
（一）有利于优化发行人债务结构,0
3、公司未决诉讼或仲裁事项,20
（二）母公司财务报表,0
（三）制定并严格执行资金管理计划,0
九、发行人独立情况,6
3、本期债券兑付兑息披露,0
重大事项提示,1
25、承销方式：本期债券由主承销商负责组建承销团，以余额包销的方式承销。,0
第二节风险因素,2
1、控股股东、实际控制人,5
（四）债券持有人会议的召开,0
一、本期债券的投资风险,0
4、营业毛利率=（营业收入-营业成本）/营业收入,0
（一）重要会计政策变更,18
2、主承销商出具的核查意见；,0
（一）资产负债结构分析,0
4、人力资源管理制度,0
（二）组织结构,10
（十九）牵头主承销商、簿记管理人,0
第四节增信机制、偿债计划及其他保障措施,0
四、偿债保障措施,3
第二节风险因素,2
目录,0
（五）政府的大力支持,0
三、发行人重要权益投资情况,7
1、直接控制股东情况,0
七、针对发行人违约的解决措施,0
3、发行人主要资产被查封、扣押、冻结；,0
5、少数股东权益占比较高的风险,0
（三）公司发展战略,17
（二）关联交易管理及定价原则,16
3）应收票据,0
二、发行人历史沿革情况,4
（二）制定并严格执行资金管理计划,0
11、存货跌价风险,0
3、关联方其他应收款,0
9、到期借款偿还率=实际借款偿还额/应偿还借款额。,0
三、公司组织结构和权益投资情况,7
（三）未来业务发展战略及盈利能力的可持续性,17
5、担保人盈利能力与偿债能力分析,0
1、项目建设必要性,0
（九）2011年12月，公司股东变更,0
二、偿债保障措施,3
第三节风险因素,2
二、未决诉讼或仲裁事项,20
（一）发行人的主营业务及所属行业,14
（二）发行人所处行业状况,15
20、担保情况：本期债券为无担保债券。,0
一、发行人主营业务情况,14
（五）平阳县国发创业大楼停车场,0
（七）公司的关联交易管理制度,0
（十一）关联往来情况,0
三、发行人有息负债情况分析,19
7、发行人独立运营情况,6
7、起息日：2017年2月27日。,0
3、所有者权益分析,0
1、债券受托管理人的权利与义务,0
九、发行人所处行业情况,15
第二节风险因素,2
第十三条偿债保证措施,3
（二）发行人组织结构,10
4、发行人经营方针及战略,17
3、发行人行业地位及优势,0
十二、业务发展战略,17
第二节风险因素,2
八、发行人法人治理结构及相关机构运行状况,9
3、债券持有人会议同意的其他措施。,0
（五）信用评级机构：联合信用评级有限公司,0
3、项目建设内容,0
一、发行人主营业务情况,14
（十七）募集资金专项账户,0
（四）公司高级管理人员简历,13
七、发行人独立经营情况,6
1、对外担保情况,0
2、未决诉讼,20
3、人力资源风险,0
（二）公司重要权益投资情况,7
（一）利率风险,0
（三）独立性,6
十二、公司内部管理制度及运行情况,11
第十四条风险揭示,2
1、董事会成员,0
8、债券受托管理人可以作为征集人，征集债券持有人委托其代为出席债券持有人会议，并代为行使表决权。,0
第一节释义,0
（二）未来业务目标及盈利能力的可持续性分析,17
三、控股股东和实际控制人情况,5
（一）发行人的主营业务介绍,14
四、本期债券募集资金运用对公司财务状况的影响,0
第十四条风险与对策,2
7、利息保障倍数=（利润总额+利息支出-客户资金利息支出）/（利息支出-客户资金利息支出）；,0
二、发行人负责人和主管会计工作的负责人、会计机构负责人声明,0
三、报告期内控股股东、实际控制人变化情况,5
5、项目法人,0
（二）偿债保障措施,3
五、发行人主营业务情况,14
七、关联交易分析,16
四、报告期末公司前十大股东情况,5
（一）未来业务目标,17
重大事项提示,1
（三）偿债能力分析,0
（五）资信风险,0
二、偿债保障措施,3
（二）报告期公司合并范围的变更情况,0
（一）违约事件,0
二、发行人历史沿革,4
1）发行人经营方针、经营范围或生产经营外部条件等发生重大变化；,0
（二）债券持有人会议的权限范围,0
三、发行总额：8.7亿元人民币。,0
6、聘任或者解聘除应由股东决定聘任或者解聘以外的负责人员；,0
（二）发行人的独立性,6
二、重大未决诉讼或仲裁事项,20
（二）发行人主营业务情况,14
二、历史沿革,4
（一）费用的承担,0
第十五条信用评级,0
（三）公司存货中土地资产占比较高，其变现能力受房地产市场行情影响较大，资产流动性较弱。,0
十、截至最近一年末有息债务情况,19
（三）发行人参股子公司,8
十二、发行人内部管理制度的建立健全及运行情况,11
8）期间费用分析,0
九、发行人主营业务情况,14
二、债券持有人会议规则的主要条款,0
（二）董事、监事、高级管理人员持股情况,0
1、合并报表资产规模超万亿元,0
十三、发行期限：本期债券的发行期限为2个工作日，自发行首日起至【2020】年【3】月【24】日。,0
十五、发行人独立运营情况,6
1、中国债券信息网,0
2、完善法人治理结构和关联交易制度,0
七、偿债保障措施,3
2、项目批复,0
六、违约责任及解决措施,0
22、承销方式：本次发行由主承销商兴业证券和华福证券负责组建承销团，以余额包销的方式承销。,0
（二）发行人的权利和义务,0
2、公司的竞争优势,0
（一）治理结构,9
十一、行业状况及发行人竞争优势,15
（一）发行人的主营业务及所属行业,14
（一）利率风险,0
（二）公司董事、监事及高级管理人员简历,13
（二）组织结构,10
（三）内部管理制度和运行情况,11
（一）“16平阳债”,0
（十三）平阳经济开发区蓝田花苑安置房停车场,0
七、发行人主要业务情况,14
3、所有者权益分析,0
（十一）发行人情况发生重大变化导致可能不符合公司债券上市条件；,0
1、本期债券存续期间重大事项的信息披露,0
3、百货零售业务及产品销售业务,0
2、合并利润表,0
