,text,label
69,3、项目建设内容,0
70,（四）发行人独立经营情况,6
71,二、发行人重要权益投资情况,7
72,六、发行人与本期发行的有关机构、人员的利害关系,0
73,4、培育“五家上司公司”,0
74,三、发行人重要权益投资,7
75,2、追踪债券持有人会议决议的实施情况并向债券持有人通报；,0
76,第二节风险因素,2
77,（九）本期债券拟申请上市的证券交易所：上海证券交易所,0
78,第十三条偿债保证措施,3
79,（四）温州长安集团有限公司,0
80,2、项目批复,0
81,目录,0
82,（九）起息日,0
83,五、本次发行相关日期,0
84,九、发行人主营业务情况,14
85,二、发行人对其他企业的重要权益投资情况,7
86,1、担保人的基本情况,0
87,（二）违约责任及其承担方式,0
88,1、流动比率=流动资产/流动负债,0
89,7、债券票面金额：本期债券票面金额为100元。,0
90,2、重大未决诉讼或仲裁,20
91,（二）或有事项,0
92,一、本期债券采用实名制记账方式，投资者认购的本期债券在证券登记机构托管记载。,0
93,十一、公司独立运营情况,6
94,七、发行人董事、监事、高级管理人员的基本情况,12
95,第十节其他重要事项,0
96,（一）发行人主要业务经营情况,0
97,重大事项提示,1
98,（六）发行人独立经营情况,6
99,（一）董事、监事和高级管理人员的基本情况,12
100,1、直接控制股东情况,0
101,（三）福建政华律师事务所出具的法律意见书；,0
102,1、营业收入分析,0
103,4、项目建设进度和资金来源,0
104,十二、关联方与关联交易,16
105,二、发行人涉及的未决诉讼或仲裁事项,20
106,（十五）起息日：本期债券的起息日为2020年7月13日。,0
107,3、公司的控股子公司、参股公司,7
108,（十）公司取得的业务资格,0
109,六、公司所处行业的基本情况,15
110,四、公司权益投资情况,7
111,1、发行人应当根据法律、法规和规则及募集说明书的约定，按期足额支付本次债券的利息和本金。,0
112,（一）公司主要业务概况,14
113,（四）债券持有人会议的召开,0
114,二、历史沿革,4
115,三、发行人近三年合并报表范围的变化情况,0
116,3、本公司的联营企业和合营企业,0
117,四、控股股东和实际控制人,5
118,25、承销方式：本期债券由主承销商负责组建承销团，以余额包销的方式承销。,0
119,（一）发行人在建项目情况,0
120,2、有息负债余额较大风险,0
121,（二）董事会及股东会决议,0
122,八、发行人内部管理制度的建立及运行情况,11
123,二、发行人的历史沿革,4
124,（二）发行人董事、监事及高级管理人员简历,13
125,（三）最近三年发行人控股股东及实际控制人变动情况,5
126,（三）参股公司,8
127,1、优势,0
128,五、前十大股东情况,5
129,3、风险管理措施,0
130,5、对外担保管理,0
131,3、资产负债率=（负债总额-代理买卖证券款）/（资产总额-代理买卖证券款）；,0
132,十一、发行人所在行业状况及面临的主要竞争状况和竞争优势,15
133,（二）发行人的权利和义务,0
134,（一）现任董事、监事、高级管理人员基本情况,12
135,7、绵九高速,0
136,2）跟踪评级程序安排,0
137,十四、公司独立情况,6
138,（二）水务相关业务,0
139,第二节风险因素,2
140,十、发行人所在行业状况,15
141,八、其他重大事项,0
142,（五）发行人未来发展战略,17
143,2、受托管理人在履行受托管理职责时，将通过以下措施管理可能存在的利益冲突情形及进行相关风险防范：,0
144,2、债务重组,0
145,4、该次会议的主持人姓名、会议议程；,0
146,三、发行人控股股东及实际控制人基本情况,5
147,（三）律师事务所出具的法律意见书；,0
148,四、公司治理和组织结构,9
149,十三、内部管理制度的建立及运行情况,11
150,8、经营活动现金净流量波动较大风险,0
151,（二）发行人董事及高级管理人员简历,13
152,5、参股公司,8
153,八、发行人主营业务概况,14
154,1、相关财务数据模拟调整的基准日为2019年12月31日；,0
155,十一、发行人内部管理制度的建立及运行情况,11
156,（三）偿债能力分析,0
157,（一）有息债务基本情况,19
158,（六）评级风险,0
159,（二）违约责任及解决措施,0
160,10、发行人控股股东或者实际控制人涉嫌犯罪被立案调查或者发生变更；,0
161,六、未来业务目标和盈利能力趋势分析,17
162,（三）发行人所处行业环境,15
163,十四、关联交易情况,16
164,（一）执行董事、监事、高级管理人员基本情况,12
165,2、出席会议的有表决权的债券持有人（或代理人）所代表的本期债券张数，占本期债券有表决权总张数的比例；,0
166,23、发生其他对债券持有人权益有重大影响的事项；,0
167,7、债券持有人及其代理人出席债券持有人会议的差旅费用、食宿费用等，均由债券持有人自行承担。,0
168,（三）跟踪评级的有关安排,0
169,五、发行人组织结构和权益投资情况,7
170,四、重要会计政策变更,18
171,8、行政管理部,0
172,（二）主承销商及其他承销机构,0
173,（二）现任董事、监事、高级管理人员简历,13
174,十二、发行人内控制度的建立及运行情况,11
175,（二）董事、监事、高级管理人员简历,13
176,一、发行人主营业务情况,14
177,18、发行方式：具体定价与配售方案参见发行公告。,0
178,（二）关联交易,16
179,4）递延所得税负债,0
180,十一、发行人内部管理制度,11
181,二、重大未决诉讼或仲裁事项,20
182,（六）充足的土地资产,0
183,六、发行人相关风险,0
184,（二）母公司口径主要财务指标,0
185,五、本次债券募集资金专项账户管理安排,0
186,8、公司董事会授予的其他职权。,0
187,（二）组织结构,0
188,七、发行人所处行业的基本情况,15
189,17、承销方式：本期债券由主承销商负责组建承销团，以余额包销的的方式承销。,0
190,2、2012年发行人以资本公积转增股本,0
191,6、发行人应当履行债券持有人会议规则及债券持有人会议决议项下债券发行人应当履行的各项职责和义务。,0
192,三、偿债保障措施,3
193,1、福建省能源集团有限责任公司,0
194,2、发行人现任董事、监事、高级管理人员持有发行人股权和债券情况,0
195,1、经营目标,0
196,1、资产情况,0
197,三、本期发行前发行人股本结构及前十大股东持股情况,5
198,5、药品使用政策风险,0
199,二、发行人历史沿革情况,4
200,三、发行人所在行业情况,15
201,三、偿债保障措施,3
202,第四节偿债计划及偿债保障措施,3
203,九、关联方及关联交易,16
204,2、董事、监事、高级管理人员在其他单位任职情况,0
205,3、财务投资,0
206,五、公司董事、监事、高级管理人员基本情况,12
207,十、发行人关联方和关联交易情况,16
208,六、未来业务目标及盈利能力的可持续性,17
209,十、有息债务情况,19
210,（二）关联交易政策,16
211,一、募集资金用途及运用计划,0
212,六、未来业务目标及盈利能力的可持续性,17
213,八、发行人经营范围及主营业务情况,14
214,（三）报告期发行的债券、其他债务融资工具以及偿还情况,0
215,3、发行人的发展战略及经营计划,17
216,三、公司控股股东及实际控制人的情况,5
217,四、公司治理和组织结构,9
218,（五）发行人的市场地位及竞争优势,0
219,五、本次募集资金投向对同业竞争和关联交易的影响,16
220,九、发行人主营业务及主要产品,0
221,（一）内部管理制度的建立,11
222,11、未来资本支出较大的风险,0
223,三、控股股东和实际控制人基本情况,5
224,第四条认购与托管,0
225,三、跟踪评级安排,0
226,（二）执行董事、监事、高级管理人员简历,13
227,二、承销团,0
228,六、发行人法人治理结构及其运行情况,9
229,（二）发行人的权利和义务,0
230,十二、发行人关联交易情况,16
231,（一）会计政策变更及对公司的影响,18
232,四、公司组织架构和权益投资情况,7
233,1、业务多元化的管理风险,0
234,三、本次发行符合相关法律、法规和规范性文件规定的有关债券发行的实质条件。,0
235,（四）平阳县产业转型升级,0
236,（三）未来业务目标,17
237,四、公司治理和组织结构,9
238,1、项目建设必要性,0
239,十一、公司独立运营情况,6
240,（六）发行人的竞争优势及发展战略,17
241,9、发行人、单独或者合计持有本期债券总额百分之十以上的债券持有人书面提议召开的其他情形；,0
242,14、发行人应当履行债券受托管理协议、募集说明书及法律、法规和规则规定的其他义务。,0
243,八、发行人董事、高级管理人员基本情况,12
244,（四）公司治理和人才优势,9
245,4、假设本期债券募集资金40亿元均用于偿还短期借款及一年内到期的非流动负债；,0
246,十七、公司面临成长性风险及经营业绩下滑的风险,0
247,（三）近三年债券的发行及偿还情况,0
248,2、组织实施公司年度经营计划和投资方案；,0
249,三、公司组织结构及权益投资情况,7
250,（七）发行人关联方及关联交易情况,16
251,6、人力资源管理,0
252,十三、公司独立情况,6
253,（三）发行人主要资产被查封、扣押、冻结；,0
254,八、发行人正在或将要履行的重大合同真实、合法、有效；发行人不存在相关侵权之债。,0
255,（四）累计对外担保余额,0
256,5、发行人减资、合并、分立、解散或者申请破产；,0
257,第二节风险因素,2
258,1、在本期债券存续期内，出现下列情形之一的，应当召开债券持有人会议，履行变更受托管理人的程序：,0
259,四、发行人有息负债情况,19
260,（一）历史沿革,4
261,2、当发行人未能按期支付本次债券利息和/或本金时，对是否同意相关解决方案作出决议；,0
262,五、本公司董事、监事、高级管理人员情况,12
263,3、完善风控体系,0
264,12、债券持有人会议应有会议记录。会议记录记载以下内容：,0
265,十八、关于公司中成药销售模式变更的风险,0
266,五、发行人所处行业基本状况,15
267,五、偿债保障措施,3
268,（四）发行人与控股股东及实际控制人之间的独立性,6
269,（二）资产和负债结构分析,0
270,第十四条风险揭示,2
271,4、债券期限：本次债券的期限为5年，债券存续期第3年末附发行人上调票面利率选择权和投资者回售选择权。,0
272,14、攀枝花金沙水电站,0
273,重大事项提示,1
274,3、海通证券应当在上述变更生效当日或之前与新任受托管理人办理完毕工作移交手续。,0
275,3）应收票据,0
276,（十）利息登记日,0
277,二、偿债保障措施,3
278,15、发行人应当履行《受托管理协议》、募集说明书及法律、法规和规则规定的其他义务。,0
279,（七）发行人发生超过上年末净资产百分之十的重大损失；,0
280,1、受托管理事务报告包括年度受托管理事务报告和临时受托管理事务报告。,0
281,2、债券受托管理人报告,0
282,2、项目批复,0
283,（三）关联交易,16
284,（十七）昆阳镇雅河西路两侧c-04地块农民经济适用房工程停车场,0
285,（一）制定《债券持有人会议规则》,0
286,五、追溯调整后的报表与原公告报表的差异,0
287,6、履行对所监管企业工资分配的监管职责，制定所监管企业管理者收入分配办法并组织实施。,0
288,六、公司控股股东及实际控制人基本情况,5
289,三、本期债券募集资金专项账户管理安排,0
290,（三）盈利能力的未来趋势分析及未来业务发展规划,17
291,一、发行人系依法设立并有效存续的国有独资有限责任公司，具备本期债券发行的主体资格。,0
292,2、联席主承销商：川财证券有限责任公司,0
293,八、发行人内部控制制度情况,11
294,（四）受托管理事务报告,0
295,9、审计部,0
296,（三）募集资金使用情况的监督,0
297,17、发行人提出债务重组方案的；,0
298,（三）高级管理人员简历,13
299,八、发行人现任董事、监事及高级管理人员情况,12
300,释义,0
301,5、发行人管理层不能正常履行职责，导致发行人债务清偿能力面临严重不确定性，需要依法采取行动的；,0
302,（五）募集资金投资项目投资规模较大，项目投资成本和项目收入预测依据不足，募投项目不能按时完工的风险。,0
303,（二）设立专门的偿付工作小组,0
304,四、偿债保障措施,3
305,一、发行人主营业务情况,14
306,3、存货跌价的风险,0
307,三、偿债保障措施,3
308,（一）股东大会及其运行情况,0
309,2、经营合规性风险,0
310,5、业务经营独立,0
311,（二）公司的治理结构及内控制度,11
312,4、发行人拟变更担保人，或担保人发生重大变化，对债券持有人权益产生重大不利影响的；,0
313,10、汇兑损益风险,0
314,一、发行人主营业务情况,14
315,（二）业务经营风险,0
316,四、管理层讨论与分析,0
317,（二）所处行业现状及前景2,15
318,重大事项提示,1
319,三、其他偿债保障措施,3
320,三、发行人所在行业情况,15
321,四、发行人重要权益投资情况,7
322,四、最近三年及一期主要财务指标,0
323,（五）本次发行后的累计公司债券余额及其占发行人最近一年末合并净资产的比例,0
324,11、ebitda全部债务比=ebitda/全部债务,0
325,七、有息债务情况,19
326,四、本次债券发行的有关机构,0
327,4、关联方应收应付款项,0
328,（二）偿债资金来源,0
329,8、制定公司的基本管理制度；,0
330,（三）议案、委托及授权事项,0
331,五、公司董事、监事、高级管理人员基本情况,12
332,9、发行人为本期债券设定资产抵（质）押，触发抵（质）押资产处置条件的；,0
333,（一）资产负债结构分析,0
334,3、偿债计划的财务安排,0
335,三、发行人组织结构图和重要的权益投资情况,7
336,十一、内部管理制度的建立和运行情况,11
337,（四）受托管理事务报告,0
338,一、会计报表编制基准及注册会计师意见,0
339,重大事项提示,1
340,第二节风险因素,2
341,（五）发行人独立经营情况,6
342,四、发行人组织结构和重要权益投资情况,7
343,（1）以债券持有人持有的本期债券提供担保；或,0
344,（四）电力生产与供应板块,0
345,二、募集资金投资项目概况,0
346,（五）财务独立,0
347,（三）偿债能力分析,0
348,第二节风险因素,2
349,（二）发行人的权利、职责和义务,0
350,（九）对债券持有人权益有重大影响的其他事项。,0
351,（一）设立专门的偿付工作小组,0
352,（四）发行人的风险控制,0
353,七、发行人董事、高级管理人员的基本情况,12
354,5、债券持有人出具的委托他人参与债券持有人会议的投票代理委托书应当载明下列内容：,0
355,（二）董事、监事、高级管理人员简历,13
356,（一）利息偿付安排,0
357,第十三条偿债保证措施,3
358,（一）管委会成员情况,0
359,第四节增信机制、偿债计划及其他保障措施,0
360,重大事项提示,1
361,1、会计政策变更,18
362,第二节风险因素,2
363,4、行业竞争格局,0
364,11、本次债券存续期内，债券受托管理人应当勤勉处理债券持有人与发行人之间的谈判或者诉讼事务。,0
365,18、募集资金用途：本次发行的募集资金在扣除发行费用后，全部用于调整债务结构及补充流动资金。,0
366,（二）股东变更,0
367,（五）公司近三年及一期合并财务报表口径下的主要财务指标,0
368,8、当发生对债券持有人权益有重大影响的事项时，对行使债券持有人依法享有的权利的方案作出决议；,0
369,（三）行业发展前景,0
370,二、发行人历史沿革情况,4
371,（四）未来业务发展目标,0
372,一、发行人主营业务情况,14
373,1、综合管理部,0
374,六、偿债保障措施,3
375,6、取得和维持相关资质的风险,0
376,（二）现任董事、监事、高级管理人员主要工作经历,0
377,六、发行人所处行业的基本情况,15
378,（二）现任董事、监事、高级管理人员简历,13
379,（二）发行人所在主要行业状况,15
380,1、购销商品、提供和接受劳务的关联交易,0
381,6、每一议案的表决结果；,0
382,（二）董事、监事、高级管理人员简历,13
383,（六）发行人承诺,0
384,（六）增信机构：广东省融资再担保有限公司,0
385,3、营运能力；4、财务政策；5、财务实力；6、定性因素。上述六大评级因素共包括13个次级指标。,0
386,26、拟上市交易场所：上海证券交易所。,0
387,（三）发行人主要竞争优势,0
388,二、发行人简要历史沿革、股本变化及重大资产重组情况,4
389,二、发行人的历史沿革,4
390,（一）构成债券违约的情形,0
391,六、发行人董事、监事及高级管理人员情况,12
392,（四）发行人发生未能清偿到期债务的违约情况；,0
393,13、发行人应当履行受托管理协议、募集说明书及法律、法规和规则规定的其他义务。,0
394,（二）担保函的主要内容,0
395,（十二）发行人内部控制情况,11
396,（一）债券持有人会议授权受托管理人履行的其他职责；,0
397,四、偿债保障措施,3
398,第四节偿债计划及其他保障措施,0
399,1、2011年发行人以资本公积转增股本,0
400,2、内部控制制度,11
401,重大事项提示,1
402,1、2016年合并范围的变更情况,0
403,（一）董事,0
404,2、对母公司口径资产负债结构的影响,0
405,八、债券托管机构,0
406,第四节偿债计划及其他保障措施,0
407,19、发行对象及配售安排：面向合格投资者公开发行，具体参见发行公告。,0
408,（三）规范关联交易的制度安排,0
409,九、发行人所处行业情况,15
410,（二）重大未决诉讼或仲裁事项,20
411,一、债券受托管理人聘任及债券受托管理协议签订情况,0
412,四、董事、监事及高级管理人员的基本情况,12
413,五、发行人重要权益投资情况,7
414,1、发行人拟变更募集说明书的约定条款；,0
415,（一）利率风险,0
416,五、违约责任及解决措施,0
417,（三）获得较低成本的中长期资金，完善公司融资体系，拓展融资渠道,0
418,五、有息债务分析,19
419,第十五条风险揭示,2
420,1、项目建设必要性,0
421,（五）不可抗力风险,0
422,三、评级差异分析,0
423,2、强化管理,0
424,（一）受托管理事项,0
425,（三）发行人内部管理制度的建立及运行情况,11
426,1、深化改革,0
427,5、各发言人对每个议案的发言要点；,0
428,（一）公司法人治理结构,9
429,（二）监事,0
430,（一）债券名称：2020年邵东新区开发建设投资有限责任公司公司债券（简称“20邵东新区债”）。,0
431,（一）2016-2018年经审计的资产负债表简表（完整的资产负债表见附表二）,0
432,四、本期债券发行及上市安排,0
433,（一）财务风险,0
434,一、发行人所在行业现状和前景,15
435,（五）其他风险,0
436,（三）偿付风险,0
437,释义,0
438,三、本期募集资金的运用计划,0
439,7、受托管理人可以作为征集人，征集债券持有人委托其代为出席债券持有人会议，并代为行使表决权。,0
440,5、项目法人,0
441,1、发行人母公司及最终控制方,0
442,三、公司治理情况和组织框架,9
443,（五）资信风险,0
444,1、偿债基金的计提方案,0
445,十、发行人关联方和关联交易情况,16
446,四、偿债保障措施,3
447,（一）发行人的经营范围,0
448,七、发行人董事、监事、高级管理人员的基本情况,12
449,四、国浩律师（上海）事务所出具的法律意见书；,0
450,十二、法人治理结构及相关机构最近三年内的运行情况,9
451,（二）公司的经营模式,0
452,3、合并现金流量表,0
453,第十三条偿债保证措施,3
454,七、发行人主要业务及业务经营情况,14
455,2、保证的方式：担保人承担保证的方式为全额无条件不可撤销连带责任保证担保。,0
456,2、发行人涉及的较大影响的未决诉讼或仲裁事项,20
457,一、与本期债券有关的风险与对策,0
458,2、公司未决诉讼或仲裁事项,20
459,五、发行人律师：湖南金州律师事务所,0
460,20、债券受托管理人：华融证券股份有限公司。,0
461,（三）跟踪评级的有关安排,0
462,（二）发行人治理结构,9
463,五、发行人主营业务情况,14
464,三、募集资金投资项目经济效益,0
465,（一）投资者可以在本期债券发行期限内到下列地点查阅本募集说明书全文及上述备查文件：,0
466,5、发行人未能按期偿付本期债券的本息；,0
467,（三）发行人的独立性,6
468,（十五）发行人管理层不能正常履行职责，导致发行人债务清偿能力面临严重不确定性，需要依法采取行动的；,0
469,二、公司未决诉讼或仲裁事项,20
470,九、发行人法人治理结构,9
471,五、发行人承诺,0
472,1）短期借款,0
473,（三）海通证券的职责、权利和义务,0
474,1、董事,0
475,（四）发行人控股子公司及参股公司,7
476,三、发行人控股股东及实际控制人的基本情况,5
477,6、盐业政策风险,0
478,四、偿债保障措施,3
479,二、发行人历史沿革,4
480,三、发行人所在行业现状和前景,15
481,七、本期公司债券发行后资产负债结构的变化,0
482,五、控股股东和实际控制人,5
483,11、发行人情况发生重大变化导致可能不符合公司债券上市条件；,0
484,（四）律师事务所：广东精诚粤衡律师事务所,0
485,（三）发行人2016年财务报表合并范围变动情况,0
486,十三、发行人独立运营情况,6
487,（十一）关联往来情况,0
488,（三）关联交易的决策权限、决策程序、定价机制,16
489,4、建立了募集资金监管制度，以有效规范募集资金的使用,0
490,（二）监事,0
491,三、发行人所在行业情况,15
492,2、本期债券上市安排,0
493,七、董事、监事和高级管理人员的基本情况,12
494,（五）营运能力分析,0
495,2、负债情况,0
496,三、发行人所在行业情况,15
497,4、财务数据基准日至本期债券发行完成日不发生重大资产、负债、权益变化。,0
498,七、发行人控股股东和实际控制人的基本情况,5
499,（六）未来业务目标及盈利能力可持续性分析,17
500,五、发行人未来的发展规划,17
501,十一、发行人独立经营情况,6
502,一、发行人主营业务情况,14
503,22、登记、托管机构：中国证券登记结算有限责任公司上海分公司。,0
504,（一）会计政策变更,18
505,第二节风险因素,2
506,（二）分销商：,0
507,1、董事会成员简介,0
508,7）存货,0
509,（三）高级管理人员,0
510,5、项目法人该项目的项目法人为发行人的全资子公司平阳县昆阳新农村建设投资有限公司。,0
511,（三）内部控制,11
512,（三）公司最近三年及一期净资产收益率情况,0
513,（六）流动性贷款支持协议增强了发行人控制流动性风险的能力,0
514,（一）发行人的组织结构,10
515,（二）本金的偿付,0
516,（七）有息负债分析,19
517,二十、关于公司报告期内存在部分关联方资金拆借、非经营性占款及相关风险说明,0
518,八、发行人内部控制制度情况,11
519,（二）现金流量分析,0
520,1、突发事件引发公司治理结构突然变化的风险,0
521,23、债券形式：实名制记账式公司债券。,0
522,（二）母公司财务报表,0
523,十三、关联方及关联交易情况,16
524,（一）概述,0
525,（三）发行人前十大股东情况,0
526,4、项目建设进度和资金来源,0
527,（一）主承销商：国信证券股份有限公司,0
528,（三）跟踪评级的有关安排,0
529,七、发行人独立经营情况,6
530,十二、公司内部管理制度及运行情况,11
531,（二）董事、监事及高级管理人员的从业简历,13
532,三、公司有息债务情况,19
533,（三）内部控制制度,11
534,（二）公司主要权益投资情况,7
535,六、发行人对其他企业的重要权益投资情况,7
536,3、现金流量分析,0
537,四、公司治理与组织结构,9
538,四、公司治理和组织结构,9
539,4、处理公司其他应由董事长处理的事务；,0
540,（五）利益冲突的风险防范机制,0
541,四、关联交易情况,16
542,二、历史沿革,4
543,十、发行人关联方、关联关系、关联交易，以及关联交易的决策权限、决策程序、定价机制,16
544,（七）债券持有人会议召开的情况；,0
545,九、交易所发行场所：上海证券交易所,0
546,三、发行人对其他企业的重要权益投资情况,7
547,六、本公司控股股东及实际控制人的基本情况,5
548,7、发行人债券持仓规模较大，因债券违约导致减值或损失的风险,0
549,第二节风险因素,2
550,（三）重要会计政策变更及变更内容,18
551,3、项目建设内容,0
552,（一）设立募集资金专户和专项偿债账户,0
553,四、报告期内公司会计政策变更情况,18
554,（七）违约责任,0
555,（一）信用评级结论及标识所代表的涵义,0
556,五、公司主营业务情况,14
557,第十节其他重要事项,0
558,五、现任董事、监事、高级管理人员基本情况,12
559,3、补偿和赔偿,0
560,二、发行人财务状况分析,0
561,6、投融资管理制度,0
562,3、矿产资源收购难度和收购成本增加的风险,0
563,（三）人员独立,0
564,（十五）平阳经济开发区下埕地块安置小区停车场,0
565,四、会计政策变更情况,18
566,一、增信机制,0
567,（二）发行人股东及实际控制人情况,5
568,4、担保控制,0
569,六、有息负债分析,19
570,6、债券受托管理协议；,0
571,二、公司未决诉讼或仲裁事项,20
572,1、以下事件构成《受托管理协议》项下的债券违约事件：,0
573,八、公司董事、监事、高级管理人员情况,12
574,2、假设本期债券的募集资金净额为40亿元，即不考虑融资过程中所产生的相关费用且全部发行；,0
575,（四）本期债券安排所特有的风险,0
576,二、偿债保障措施,3
577,重大事项提示,1
578,4、金融企业不良资产收购处置业务市场竞争风险,0
579,（四）所属行业状况、行业地位及竞争优势,15
580,3、拟变更、解聘债券受托管理人，或变更债券受托管理协议的主要内容；,0
581,2、发行人子公司业务资格和许可,0
582,（一）交通设施运营及建设板块,0
583,六、发行人律师：浙江九州大众律师事务所,0
584,（五）独立性,6
585,（二）董事会成员、监事会成员及高级管理人员简历,13
586,（三）发行人各板块经营情况,0
587,1、控股股东及最终控制人,5
588,（一）本期债券发行时间安排,0
589,1、资产规模快速扩张、管理跨度加大带来的管理风险,0
590,（二）公司未决诉讼或仲裁,20
591,1、发行人营业收入情况,0
592,第五节发行人基本情况,0
593,五、偿债保障措施,3
594,三、偿债应急保障方案,0
595,（一）内部控制的目标与原则,0
596,4、债券存续期间，海通证券应当按照规定和约定履行下列受托管理职责，维护债券持有人的利益：,0
597,六、发行人独立性情况,6
598,（一）公司前身设立、增资情况,0
599,（五）债券持有人会议的召开,0
600,五、发行人与子公司的投资关系,0
601,第五节同业竞争与关联交易,16
602,第二节风险因素,2
603,三、本期债券发行的有关当事人,0
604,五、发行人董事、监事、高级管理人员基本情况,12
605,2、《关联交易管理制度》有关规定：,0
606,7、法律、行政法规和部门规章规定应当由债券持有人会议作出决议的其他情形。,0
607,4、项目建设进度和资金来源,0
608,二、本金的兑付,0
609,四、发行人股权结构、控股股东和实际控制人情况,5
610,（一）本期募集资金投向,0
611,（一）公司最近三年及一期主要财务指标,0
612,五、发行人有息债务情况,19
613,二、本次可续期公司债券的偿债保障措施,3
614,二、发行人设立及变更情况,4
615,第三节风险因素,2
616,2、2016年纳入合并报表范围较2015年末的变化,0
617,（一）会计政策变更情况,18
618,（二）发行人主营业务经营情况,0
619,（八）本期债券登记机构：中国证券登记结算有限责任公司上海分公司,0
620,五、发行人违约责任,0
621,2、资本运营部,0
622,二、未决诉讼或仲裁事项,20
623,（四）公司最近三年及一期主要偿债能力指标,0
624,第一节发行概况,0
625,二十、承销团成员：本期债券的主承销商为江海证券有限公司，分销商为西部证券股份有限公司。,0
626,第六节财务会计信息,0
627,十、可研报告编制机构：温州市经济建设规划院,0
628,七、发行人关联交易情况,16
629,三、本期债券的募集资金扣除发行费用后，将全部用于偿还公司债务，以降低短期还债压力，优化公司债务结构。,0
630,８、净资产收益率=净利润/平均所有者权益,0
631,六、发行人有息债务情况,19
632,九、关联交易,16
633,（四）发展战略,17
634,3、关注,0
635,三、公司治理情况和组织框架,9
636,五、发行人组织结构及对其他企业的权益投资情况,7
637,五、发行人内部组织机构情况,0
638,7、投资决策管理制度,0
639,2、监事会成员,0
640,（二）发行人所处行业状况,15
641,5、四川长宁天然气开发有限责任公司,0
642,九、发行人的未决诉讼或仲裁,20
643,（一）会计政策变更情况,18
644,三、主承销商勤勉尽责声明,0
645,8、资产运营效率分析,0
646,四、偿债保障措施,3
647,六、发行人法人治理结构,9
648,第五节增信机制、偿债计划及其他保障措施,0
649,3、行业政策,0
650,2、关注,0
651,2、发行人主要参股公司情况,8
652,六、发行人发展规划,17
653,（二）设立专门的偿付工作小组,0
654,（二）主承销商出具的核查意见；,0
655,四、偿债保障措施,3
656,七、有息债务情况,19
657,（四）发行人内部管理制度的建立及运行情况,11
658,5、债券受托管理人发出召开债券持有人会议通知的，债券受托管理人是债券持有人会议召集人。,0
659,八、董事、监事、高级管理人员的基本情况,12
660,2、速动比率＝（流动资产合计-存货-待摊费用-一年内到期的非流动资产-其他流动资产）/流动负债合计,0
661,（二）董事会及其运行情况,0
662,七、发行人关联交易情况,16
663,3、本公司重要的联营企业,0
664,1、未来业务目标,17
665,十二、发行人内部控制体系,11
666,（三）管理风险,0
667,三、控股股东和实际控制人基本情况,5
668,（三）偿付风险,0
669,（二）发行人参股公司情况,8
670,（三）独立性,6
671,2、稳健做好自营工作,0
672,（四）华普天健会计师事务所（特殊普通合伙）为发行人出具的2016年审计报告；,0
673,（三）制定并严格执行资金管理计划,0
